Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
325,Jonathan Bullard,28,ATL,DE,9,4,0,0,0,0,1,0,0,0,0,0,0.0,21,8,13,0,1,0,,BullJo00
326,Akiem Hicks,32,CHI,DE,9,9,0,0,0,0,0,0,0,0,0,0,3.5,25,19,6,5,9,0,,HickAk00
327,Oshane Ximines,25,NYG,DE,10,0,0,0,0,0,3,0,0,0,0,0,0.0,13,4,9,0,2,0,,XimiOs00
328,Dayo Odeyingbo,22,IND,DE,10,0,0,0,0,0,0,1,0,0,0,0,0.5,6,5,1,0,1,0,,OdeyDa00
329,Pernell McPhee,33,BAL,DE,10,0,0,0,0,0,0,0,0,0,0,0,1.0,14,11,3,2,3,0,,McPhPe00
330,Margus Hunt,34,CHI,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.0,14,6,8,3,0,0,,HuntMa00
331,Jaylon Ferguson,26,BAL,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,3,0,,FergJa02
332,L.J. Collier,26,SEA,DE,10,0,0,0,0,0,1,0,0,0,0,0,0.0,8,3,5,1,5,0,,CollLJ00
333,Efe Obada,29,BUF,DE,10,1,0,0,0,0,1,0,0,0,0,0,3.5,12,8,4,3,8,0,,ObadEf00
334,Tim Ward,24,NYJ,DE,11,0,0,0,0,0,2,0,0,0,0,0,0.0,12,5,7,0,0,0,,WardTi00
335,Marlon Davidson,23,ATL,DE,11,1,1,3,1,3,1,0,0,1,0,0,1.0,21,12,9,1,1,0,,DaviMa01
336,Taco Charlton,27,PIT,DE,11,1,0,0,0,0,1,0,0,0,0,0,0.5,18,7,11,0,2,0,,CharTa00
337,Takkarist McKinley,26,CLE,DE,11,2,0,0,0,0,0,1,0,0,0,0,2.5,18,10,8,3,8,0,,McKiTa00
338,Larrell Murchison,24,TEN,DE,11,5,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,1,0,0,,MurcLa00
339,Joe Jackson,25,CLE,DE,12,0,0,0,0,0,0,0,0,0,0,0,1.5,16,9,7,3,3,0,,JackJo02
340,Mario Edwards,27,CHI,DE,12,1,0,0,0,0,1,0,0,0,0,0,2.0,8,2,6,1,5,0,,EdwaMa01
