Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
228,Nick Williams,32,NYG,DE,8,7,0,0,0,0,2,0,0,0,0,0,0.0,15,5,10,0,2,0,,WillNi01
229,Jordan Willis,27,SFO,DE,9,0,0,0,0,0,0,1,0,1,0,0,2.0,12,6,6,3,4,0,,WillJo09
230,Austin Bryant,26,DET,DE,9,0,0,0,0,0,1,0,0,0,0,0,0.0,9,7,2,1,3,0,,BryaAu00
231,Amare Barno,23,CAR,DE,9,0,0,0,0,0,0,0,0,0,0,0,2.0,9,8,1,2,2,0,,BarnAm00
232,Emmanuel Ogbah,29,MIA,DE,9,3,0,0,0,0,0,0,0,0,0,0,1.0,11,7,4,1,7,0,,OgbaEm00
233,Isaiah Thomas,24,CLE,DE,10,0,0,0,0,0,2,0,0,1,0,0,1.0,9,4,5,1,2,0,,ThomIs01
234,Jeff Gunter,23,CIN,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,GuntJe01
235,Thomas Booker,23,HOU,DE,10,1,0,0,0,0,1,0,0,0,0,0,0.5,15,11,4,1,1,0,,BookTh00
236,Vinny Curry,34,NYJ,DE,11,0,0,0,0,0,0,0,0,0,0,0,0.0,15,9,6,2,1,0,,CurrVi00
237,Henry Anderson,31,CAR,DE,11,0,0,0,0,0,0,0,0,0,0,0,0.0,18,9,9,3,1,0,,AndeHe00
238,Daniel Wise,26,WAS,DE,11,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,WiseDa01
239,DeMarvin Leal,22,PIT,DE,11,2,0,0,0,0,3,0,0,0,0,0,0.0,14,8,6,1,0,0,,LealDe00
240,Mario Addison,35,HOU,DE,12,1,0,0,0,0,1,1,0,0,0,0,1.0,15,6,9,1,2,0,,AddiMa00
241,Carlos Watkins,29,DAL,DE,12,4,0,0,0,0,0,1,0,0,0,0,0.0,26,13,13,2,0,0,,WatkCa00
242,Jacob Martin,27,2TM,DE,13,0,0,0,0,0,0,1,0,0,0,0,2.5,14,7,7,2,5,0,,MartJa02
243,Olakunle Fatukasi,23,TAM,DE,13,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,,FatuOl00
244,Michael Danna,25,KAN,DE,13,0,0,0,0,0,0,2,0,0,0,0,5.0,27,9,18,3,10,0,,DannMi00
245,Chris Wormley,29,PIT,DE,13,1,0,0,0,0,0,1,0,1,0,0,0.5,29,13,16,3,1,0,,WormCh00
246,Carl Nassib,29,TAM,DE,13,1,0,0,0,0,3,0,0,1,0,0,3.5,23,15,8,6,6,0,,NassCa00
247,Michael Dogbe,26,ARI,DE,13,4,0,0,0,0,0,0,0,0,0,0,0.0,28,14,14,1,0,0,,DogbMi00
248,Ifeadi Odenigbo,28,2TM,DE,14,0,0,0,0,0,0,0,0,0,0,0,3.5,18,9,9,4,6,0,,OdenIf00
249,Jermaine Johnson II,23,NYJ,DE,14,0,0,0,0,0,0,0,0,0,0,0,2.5,29,18,11,3,5,1,,JohnJe07
250,Bryce Huff,24,NYJ,DE,14,0,0,0,0,0,1,1,0,0,0,0,3.5,6,4,2,2,10,0,,HuffBr00
251,Jonathan Garvin,23,GNB,DE,14,0,0,0,0,0,2,0,0,0,0,0,0.0,8,0,8,0,2,0,,GarvJo00
252,Jonathan Ledbetter,25,ARI,DE,14,3,0,0,0,0,0,0,0,0,0,0,1.0,22,10,12,2,2,0,,LedbJo01
253,Calais Campbell,36,BAL,DE,14,14,0,0,0,0,2,2,0,0,0,0,5.5,36,18,18,4,14,0,,CampCa99
254,Sam Williams,23,DAL,DE,15,0,0,0,0,0,1,1,0,3,0,0,4.0,22,15,7,10,9,0,AP DRoY-5,WillSa00
255,Dawuane Smoot,27,JAX,DE,15,0,0,0,0,0,2,1,0,1,0,0,5.0,21,14,7,6,12,0,,SmooDa00
256,Drake Jackson,21,SFO,DE,15,0,1,0,0,0,8,0,0,0,0,0,3.0,14,8,6,3,6,0,,JackDr01
257,Boogie Basham,25,BUF,DE,15,0,1,21,0,21,2,0,0,1,1,0,2.0,19,9,10,1,5,0,,BashCa00
258,Adam Gotsis,30,JAX,DE,15,1,0,0,0,0,2,0,0,1,0,0,1.5,19,10,9,3,9,0,,GotsAd00
259,A.J. Epenesa,24,BUF,DE,15,2,0,0,0,0,5,2,0,1,0,0,6.5,16,13,3,7,10,0,,EpenAJ00
260,Jerry Tillery,26,2TM,DE,15,4,0,0,0,0,0,1,0,0,0,0,1.0,18,13,5,0,4,0,,TillJe00
261,Tanoh Kpassagnon,28,NOR,DE,15,5,0,0,0,0,0,0,0,0,0,0,2.0,28,15,13,3,6,0,,KpasTa00
262,Brent Urban,31,BAL,DE,16,0,0,0,0,0,3,0,0,0,0,0,1.0,21,10,11,2,1,0,,UrbaBr00
263,Casey Toohill,26,WAS,DE,16,0,0,0,0,0,0,0,0,2,1,1,1.0,25,13,12,2,6,0,,ToohCa00
264,Shaka Toney,24,WAS,DE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,1,0,0,,ToneSh00
265,Joseph Ossai,22,CIN,DE,16,0,0,0,0,0,1,0,0,2,0,1,3.5,17,6,11,2,10,0,,OssaJo00
266,DaMarcus Mitchell,24,NWE,DE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,8,3,5,0,0,0,,MitcDa00
267,Patrick Johnson,24,PHI,DE,16,0,0,0,0,0,0,1,0,1,0,0,0.0,11,7,4,0,3,0,,JohnPa02
268,Micheal Clemons,25,NYJ,DE,16,0,0,0,0,0,0,0,0,0,0,0,2.5,36,22,14,4,6,0,,ClemMi03
269,Cameron Sample,23,CIN,DE,16,1,0,0,0,0,0,0,0,0,0,0,2.0,25,17,8,4,7,0,,SampCa00
270,Kerry Hyder,31,SFO,DE,16,1,0,0,0,0,3,0,0,1,0,0,1.0,19,10,9,1,4,0,,HydeKe01
271,Carl Granderson,26,NOR,DE,16,4,0,0,0,0,0,1,0,1,0,0,5.5,53,30,23,9,9,0,,GranCa01
272,Clelin Ferrell,25,LVR,DE,16,4,0,0,0,0,2,0,0,0,0,0,2.0,26,8,18,3,8,0,,FerrCl00
273,Solomon Thomas,27,NYJ,DE,17,0,0,0,0,0,0,0,0,0,0,0,0.5,26,13,13,2,4,0,,ThomSo00
274,Pat O'Connor,29,TAM,DE,17,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,1,1,0,,OConPa00
275,Matt Henningsen,23,DEN,DE,17,0,0,0,0,0,0,0,0,0,0,0,1.0,21,8,13,2,1,0,,HennMa01
276,Logan Hall,22,TAM,DE,17,0,0,0,0,0,0,0,0,0,0,0,2.5,12,7,5,5,6,0,,HallLo00
277,Dante Fowler,28,DAL,DE,17,0,0,0,0,0,2,2,0,0,0,0,6.0,27,22,5,7,9,0,,FowlDa00
278,Efe Obada,30,WAS,DE,17,1,0,0,0,0,2,0,0,0,0,0,4.0,24,14,10,4,8,0,,ObadEf00
