,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
192,isaiah buggs,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.0,0.0,1.0,12.0,7.0,5.0,2.0,1.0,0.0,0.0
193,isaiah foskey,13.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.5,8.0,0.0,0.0,0.0,0.0
194,isaiah land,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
195,isaiah mack,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0
196,isaiah mcguire,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.75,21.0,11.5,9.5,5.0,5.5,0.0,0.0
197,isaiah thomas,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,6.0,2.0,4.0,0.5,1.0,0.0,0.0
198,isaiahh loudermilk,14.5,1.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.25,15.75,9.5,6.25,0.25,0.25,0.0,0.0
199,jabaal sheard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200,jabari zuniga,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5,1.5,1.0,0.0,0.5,0.0,0.0
201,jack heflin,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
202,jacob martin,13.666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.5,12.0,7.0,5.0,2.0,4.666666666666667,0.0,0.0
203,jacob tuioti-mariner,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.0,4.0,2.0,2.0,0.0,0.0
204,jaden crumedy,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,4.0,9.0,0.0,1.0,0.0,0.0
205,jaleel johnson,11.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,20.666666666666668,11.0,9.666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.0
206,jalen carter,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,42.0,1.0,6.0,33.0,20.0,13.0,8.0,9.0,0.0,4.0
207,jalen dalton,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,5.0,1.0,0.0,0.0,0.0
208,jalen harris,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0
209,jalen redmond,13.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,10.0,8.0,6.0,1.0,0.0,0.0
210,jalyn holmes,7.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,10.0,5.5,4.5,2.25,1.0,0.0,0.0
211,james lynch,15.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,23.333333333333332,11.666666666666666,11.666666666666666,1.6666666666666667,1.0,0.0,0.0
212,james smith-williams,11.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,11.5,11.5,4.5,5.0,0.0,0.0
213,janarius robinson,8.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,6.5,3.5,3.0,0.5,2.0,0.0,0.0
214,jaquelin roy,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,7.5,5.0,2.0,1.5,0.0,0.0
215,jarran reed,16.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,7.0,54.0,27.0,27.0,7.0,12.0,0.0,0.0
216,jason pierre-paul,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
217,javon hargrave,9.5,9.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,25.5,14.5,11.0,4.5,7.5,0.0,3.0
