Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
252,BJ Thompson,24,KAN,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,ThomBJ00
253,Jason Pierre-Paul,34,NOR,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,PierJa99
254,Mike Morris,22,SEA,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,MorrMi00
255,Michael Dogbe,27,HOU,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,DogbMi00
256,Kendal Vickers,28,BUF,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,VickKe00
257,Payton Turner,24,NOR,DE,2,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,2,0,,TurnPa02
258,Sam Kamara,26,CLE,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,1,0,0,,KamaSa00
259,Eric Banks,25,ARI,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,BankEr00
260,Chase Winovich,28,MIA,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,WinoCh00
261,Isaiah McGuire,22,CLE,DE,4,1,0,0,0,0,0,0,0,0,0,0,1.0,6,5,1,2,2,0,,McGuIs00
262,Chris Wormley,30,CAR,DE,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,,WormCh00
263,Kyle Phillips,26,NOR,DE,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,PhilKy00
264,Efe Obada,31,WAS,DE,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,ObadEf00
265,Jalen Harris,24,WAS,DE,5,0,0,0,0,0,1,0,0,0,0,0,0.0,6,5,1,0,1,0,,HarrJa04
266,Carl Lawson,28,NYJ,DE,6,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,,LawsCa00
267,Kerry Hyder,32,2TM,DE,6,0,0,0,0,0,0,0,0,0,0,0,1.0,3,3,0,2,1,0,,HydeKe01
268,Janarius Robinson,24,LVR,DE,6,2,0,0,0,0,0,0,0,0,0,0,1.0,8,5,3,1,2,0,,RobiJa04
269,Myjai Sanders,25,HOU,DE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,1,2,0,,SandMy00
270,Joshua Pryor,24,WAS,DE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,PryoJo00
