Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
198,Truman Jones,24,NWE,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,JoneTr01
199,DJ Coleman,26,JAX,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,ColeDJ00
200,Solomon Byrd,25,HOU,DE,1,0,0,0,0,0,1,0,0,0,0,0,0.0,2,2,0,0,1,0,,ByrdSo00
201,Derrick Brown,26,CAR,DE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,BrowDe05
202,Elerson Smith,26,CLE,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,SmitEl00
203,Andre Jones,26,WAS,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,JoneAn02
204,K.J. Henry,25,DAL,DE,2,0,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,1,1,0,,HenrKJ00
205,Tanoh Kpassagnon,30,NOR,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,,KpasTa00
206,Joe Gaziano,28,JAX,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,GaziJo01
207,Carl Davis,32,WAS,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,DaviCa01
208,Andre Carter II,24,LVR,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,1,0,,CartAn01
209,Alex Wright,24,CLE,DE,4,0,0,0,0,0,0,0,0,0,0,0,1.0,8,5,3,1,1,1,,WrigAl01
210,DeMarcus Lawrence,32,DAL,DE,4,4,0,0,0,0,0,1,0,0,0,0,3.0,14,7,7,4,5,0,,LawrDe00
211,Cameron Thomas,24,CLE,DE,5,0,0,0,0,0,0,0,0,0,0,0,1.0,11,6,5,4,1,0,,ThomCa03
212,DeMarvin Leal,24,PIT,DE,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,1,0,,LealDe00
213,Jonah Williams,29,LAR,DE,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,1,0,0,,WillJo16
214,Efe Obada,32,WAS,DE,6,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,,ObadEf00
215,Charles Omenihu,27,KAN,DE,6,1,0,0,0,0,0,1,0,0,0,0,1.0,6,4,2,0,1,0,,OmenCh00
216,Braiden McGregor,23,NYJ,DE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,,McGrBr00
217,Jerry Hughes,36,HOU,DE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,,HughJe99
218,Jonathan Harris,28,CAR,DE,7,0,0,0,0,0,0,0,0,1,0,0,0.0,10,4,6,1,1,0,,HarrJo05
219,Tyrus Wheat,25,DAL,DE,8,0,0,0,0,0,0,0,0,0,0,0,0.5,14,6,8,1,1,0,,WheaTy02
220,Myles Cole,24,JAX,DE,8,0,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,1,0,0,,ColeMy00
221,Cedric Johnson,22,CIN,DE,9,0,0,0,0,0,0,0,0,0,0,0,1.0,7,5,2,1,4,0,,JohnCe01
222,Isaiah Land,24,IND,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,1,0,,LandIs00
223,Desjuan Johnson,25,LAR,DE,10,0,0,0,0,0,0,0,0,0,0,0,1.0,12,4,8,1,1,0,,JohnDe08
224,Janarius Robinson,25,LVR,DE,10,1,0,0,0,0,1,0,0,0,0,0,0.5,5,2,3,0,2,0,,RobiJa04
225,Denico Autry,34,HOU,DE,10,2,0,0,0,0,3,0,0,0,0,0,3.0,13,8,5,3,6,0,,AutrDe00
226,Tyquan Lewis,29,IND,DE,10,4,0,0,0,0,0,1,0,0,0,0,1.5,24,14,10,2,4,0,,LewiTy00
227,Marshawn Kneeland,23,DAL,DE,11,1,0,0,0,0,1,0,0,1,0,0,0.0,14,9,5,2,3,0,,KneeMa00
228,Sam Kamara,27,CLE,DE,11,1,0,0,0,0,0,0,0,0,0,0,0.0,15,10,5,1,0,0,,KamaSa00
229,Brandon Graham,36,PHI,DE,11,1,0,0,0,0,2,1,0,0,0,0,3.5,20,15,5,6,7,0,,GrahBr99
230,Dawuane Smoot,29,BUF,DE,11,4,0,0,0,0,1,2,0,0,0,0,1.5,16,12,4,5,4,0,,SmooDa00
231,Malik Herring,27,KAN,DE,12,0,0,0,0,0,0,0,0,0,0,0,0.0,12,7,5,1,3,0,,HerrMa02
232,Javontae Jean-Baptiste,24,WAS,DE,12,1,0,0,0,0,0,0,0,0,0,0,1.0,13,6,7,1,2,0,,JeanJa00
233,Bryce Huff,26,PHI,DE,12,6,0,0,0,0,0,1,0,0,0,0,2.5,13,5,8,3,4,0,,HuffBr00
234,Myles Murphy,22,CIN,DE,13,0,0,0,0,0,1,0,0,0,0,0,0.0,20,11,9,1,4,0,,MurpMy00
235,Dylan Horton,24,HOU,DE,13,0,0,0,0,0,1,0,0,0,0,0,0.0,16,6,10,1,2,0,,HortDy00
236,Joshua Uche,26,2TM,DE,13,1,0,0,0,0,0,0,0,0,0,0,2.0,23,17,6,2,3,0,,UcheJo00
237,Javon Solomon,23,BUF,DE,14,0,0,0,0,0,0,1,0,1,0,0,2.0,13,9,4,3,6,0,,SoloJa00
238,Casey Toohill,28,BUF,DE,14,1,0,0,0,0,1,0,0,1,0,0,1.0,20,9,11,2,1,0,,ToohCa00
239,Carlos Watkins,31,DAL,DE,15,0,0,0,0,0,0,0,0,0,0,0,0.0,12,4,8,0,0,0,,WatkCa00
240,Mike Morris,23,SEA,DE,15,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,,MorrMi00
241,Carl Lawson,29,DAL,DE,15,3,0,0,0,0,0,1,0,0,0,0,5.0,15,7,8,4,15,0,,LawsCa00
242,K'Lavon Chaisson,25,LVR,DE,15,4,1,0,0,0,2,1,0,0,0,0,5.0,32,19,13,7,8,0,,ChaiKL00
243,Deatrich Wise Jr.,30,NWE,DE,15,5,0,0,0,0,3,0,0,0,0,0,5.0,29,16,13,5,8,0,,WiseDe00
244,Payton Turner,25,NOR,DE,16,0,0,0,0,0,4,2,0,0,0,0,2.0,21,10,11,3,3,0,,TurnPa02
245,Derek Barnett,28,HOU,DE,16,1,0,0,0,0,0,2,0,2,64,2,5.0,26,15,11,4,7,0,,BarnDe01
246,Isaiah McGuire,23,CLE,DE,16,3,0,0,0,0,0,3,0,0,0,0,2.5,36,18,18,8,9,0,,McGuIs00
247,Tyree Wilson,24,LVR,DE,16,4,0,0,0,0,0,1,0,0,0,0,4.5,27,16,11,6,10,0,,WilsTy01
248,Ogbonnia Okoronkwo,29,CLE,DE,16,5,0,0,0,0,0,1,0,0,0,0,3.0,23,15,8,5,6,0,,OkorOg00
249,Chase Young,25,NOR,DE,17,0,0,0,0,0,3,1,0,0,0,0,5.5,31,21,10,8,21,0,,YounCh04
250,Isaiah Foskey,24,NOR,DE,17,0,0,0,0,0,0,0,0,0,0,0,0.0,16,4,12,0,0,0,,FoskIs00
251,Laiatu Latu,24,IND,DE,17,1,0,0,0,0,1,3,0,1,0,0,4.0,32,16,16,5,12,0,AP DRoY-12,LatuLa00
252,Arik Armstead,31,JAX,DE,17,1,0,0,0,0,3,0,0,0,0,0,2.0,29,21,8,3,7,0,,ArmsAr01
253,Joseph Ossai,24,CIN,DE,17,3,0,0,0,0,1,2,0,0,0,0,5.0,46,26,20,4,15,0,,OssaJo00
254,Felix Anudike-Uzomah,22,KAN,DE,17,3,0,0,0,0,0,1,0,1,0,0,2.5,27,16,11,6,7,0,,AnudFe00
