Year,Player,Career AV
2022,Braylon Sanders,0
2022,Myjai Sanders,3
2022,Nephi Sewell,0
2022,Justin Shaffer,0
2022,Khalil Shakir,0
2022,Abram Smith,0
2022,Brandon Smith,1
2022,Lecitus Smith,0
2022,Tyler Smith,25
2022,Tyreke Smith,0
2022,Baylon Spector,8
2022,Isaiah Spiller,1
2022,Chris Steele,0
2022,Derek Stingley,21
2022,Jordan Stout,6
2022,Cole Strange,11
2022,Carson Strong,0
2022,Pierre Strong,4
2022,Andrew Stueber,0
2022,Myron Tagovailoa-Amosa,0
2022,Alontae Taylor,13
2022,Cam Taylor-Britt,14
2022,Isaac Taylor-Stuart,0
2022,Luke Tenuta,0
2022,Kayvon Thibodeaux,21
2022,Zach Thomas,0
2022,Cameron Thomas,3
2022,Isaiah Thomas,0
2022,Juanyeh Thomas,0
2022,Josh Thompson,0
2022,Skylar Thompson,0
2022,Tyquan Thornton,3
2022,Channing Tindall,3
2022,Jalen Tolbert,7
2022,Zach Tom,0
2022,Cole Turner,0
2022,Tré Turner,0
2022,Delarrin Turner-Yell,0
2022,Eyioma Uwazurike,1
2022,CJ Verdell,0
2022,Cordell Volson,22
2022,Matt Waletzko,0
2022,Kenneth Walker,20
2022,Quay Walker,18
2022,Rasheed Walker,0
2022,Travon Walker,21
2022,Jermaine Waller,0
2022,Jaylen Warren,0
2022,Christian Watson,16
2022,Jaylen Watson,8
2022,Luke Wattenberg,0
2022,Sam Webb,8
2022,Dohnovan West,0
2022,Isaiah Weston,0
2022,Rachaad White,21
2022,ZaQuandre White,0
2022,Zamir White,5
2022,Tre Williams,0
2022,Damarion Williams,8
2022,Devon Williams,0
2022,Jameson Williams,16
2022,Joshua Williams,5
2022,Kyren Williams,0
2022,Sam Williams,4
2022,Malik Willis,4
2022,Garrett Wilson,24
2022,Perrion Winfrey,1
2022,Jelani Woods,2
2022,JT Woods,1
2022,Mike Woods,0
2022,Tariq Woolen,0
2022,Alex Wright,6
2022,Mykael Wright,0
2022,Devonte Wyatt,6
2022,Jalen Wydermyer,0
2022,Cade York,1
2022,Nick Zakelj,0
2022,Bailey Zappe,2
