wt,40yd,vertical,bench,broad_jump,3cone,shuttle,round,nfl_av,ht_num
242,4.63,32.5,19.0,110.0,7.32,4.33,2,9,6.166666666666667
255,4.92,32.0,15.0,108.0,7.08,4.47,6,0,6.416666666666667
233,4.69,31.5,25.0,118.0,6.75,4.32,6,0,6.0
224,4.66,29.5,16.0,119.0,7.07,4.33,4,8,5.833333333333333
251,4.75,31.5,17.0,113.0,7.19,4.31,3,1,6.333333333333333
260,4.41,36.0,21.0,125.0,7.0,4.29,1,42,6.5
238,4.63,37.0,24.0,125.0,7.21,4.28,3,19,6.083333333333333
295,4.93,32.0,23.0,115.0,7.45,4.33,1,24,6.5
234,4.57,37.5,31.0,122.0,6.94,4.14,4,25,6.166666666666667
252,4.67,36.5,19.0,122.0,7.21,4.25,3,0,6.416666666666667
203,4.43,43.0,18.0,133.0,6.85,4.14,7,0,5.916666666666667
267,4.89,31.0,24.0,117.0,7.18,4.38,4,0,6.25
237,4.42,39.5,22.0,118.0,7.07,4.17,1,46,6.0
212,4.57,36.0,17.0,130.0,7.0,4.16,6,0,5.916666666666667
302,5.12,28.0,23.0,100.0,8.01,4.79,1,33,6.333333333333333
206,4.51,33.0,19.0,121.0,7.44,4.44,6,0,5.666666666666667
256,4.59,30.5,18.0,116.0,6.94,4.11,3,11,6.25
318,5.01,32.0,30.0,118.0,7.65,4.53,4,2,6.416666666666667
253,4.78,34.0,24.0,118.0,7.13,4.57,3,8,6.25
192,4.51,39.5,18.0,120.0,7.31,4.31,2,15,6.0
