player,pos,school,wt,40yd,vertical,bench,broad jump,3cone,shuttle,ht_num,round
Tariq Castro-Fields,CB,Penn St.,197,4.38,NA,NA,NA,NA,NA,6.083333333333333,6
Tykevious Chandler,RB,North Carolina,204,4.38,31.0,NA,121,NA,NA,5.916666666666667,5
Leo Chenal,LB,Wisconsin,250,4.53,40.5,NA,128,NA,NA,6.25,3
Lewis Cine,S,Georgia,199,4.37,36.5,NA,133,NA,NA,6.166666666666667,1
Damone Clark,LB,LSU,239,4.57,36.5,NA,127,7.12,NA,6.25,5
Micheal Clemons,DE,Texas A&M,263,NA,NA,24,116,NA,NA,6.416666666666667,4
Snoop Conner,RB,Mississippi,222,4.59,29.5,25,118,NA,NA,5.833333333333333,5
Bryan Cook,S,Cincinnati,206,NA,NA,NA,NA,NA,NA,6.083333333333333,2
James Cook,RB,Georgia,199,4.42,33.0,NA,124,NA,NA,5.916666666666667,2
Matt Corral,QB,Mississippi,212,NA,NA,NA,NA,NA,NA,6.166666666666667,3
Charles Cross,OT,Mississippi St.,307,4.95,26.0,NA,112,7.88,4.61,6.416666666666667,1
Nick Cross,S,Maryland,212,4.34,37.0,NA,130,NA,NA,6.0,3
DJ Davidson,DT,Arizona St.,327,NA,28.0,23,NA,7.85,4.72,6.25,5
Jordan Davis,DT,Georgia,341,4.78,32.0,NA,123,NA,NA,6.5,1
Kalia Davis,DT,Central Florida,302,NA,NA,NA,NA,NA,NA,6.083333333333333,6
Tyrion Davis-Price,RB,LSU,211,4.48,30.0,NA,117,NA,NA,6.0,3
Nakobe Dean,LB,Georgia,229,NA,NA,NA,NA,NA,NA,5.916666666666667,3
Dawson Deaton,C,Texas Tech,306,5.12,29.0,24,108,7.52,4.49,6.5,7
Austin Deculus,OT,LSU,321,5.08,28.5,NA,109,NA,4.99,6.416666666666667,6
Jahan Dotson,WR,Penn St.,178,4.43,36.0,NA,121,7.28,NA,5.916666666666667,1
Romeo Doubs,WR,Nevada,201,NA,NA,NA,NA,NA,NA,6.166666666666667,4
Greg Dulcich,TE,UCLA,243,4.69,34.0,16,122,7.05,4.37,6.333333333333333,3
Cobie Durant,CB,South Carolina St.,180,4.38,NA,NA,NA,NA,NA,5.833333333333333,4
Arnold Ebiketie,EDGE,Penn St.,250,NA,38.0,21,128,NA,NA,6.166666666666667,2
Trestan Ebner,RB,Baylor,206,4.43,30.0,NA,NA,NA,NA,5.916666666666667,6
Ikem Ekwonu,OT,North Carolina St.,310,4.93,29.0,NA,108,7.82,4.73,6.333333333333333,1
Kaiir Elam,CB,Florida,191,4.39,NA,NA,NA,NA,NA,6.166666666666667,1
Martin Emerson,CB,Mississippi St.,201,4.53,NA,NA,NA,NA,NA,6.166666666666667,3
Kingsley Enagbare,DE,South Carolina,258,4.87,36.5,NA,117,NA,NA,6.333333333333333,5
