year-drafted,qb-num-picked,rd-picked,num-picked,name,height (in),weight (lbs),nfl-team,coach-tenure,drafted-team-winpr,drafted_team_ppg_rk,college,conf,conf-str,p-cmp,p-att,cmp-pct,p-yds,p-ypa,p-adj-ypa,p-td,int,rate,r-att,r-yds,r-avg,r-tds,nfl-starts,nfl-wins,nfl-losses,nfl-ties,nfl-winpr,nfl-qbr,nfl-cmp,nfl-att,nfl-inc,nfl-comp%,nfl-yds,nfl-tds,nfl-int,nfl-pick6,nfl-int%,nfl-sack%,nfl-y/a,nfl-ay/a,nfl-any/a,nfl-y/c,nfl-y/g,nfl-succ%,nfl-4qc,nfl-gwd
2000,2,3,65,Giovanni Carmazzi,75,224,49ers,3,0.25,20,Hofstra,FCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,3,75,Chris Redman,75,222,Ravens,1,0.5,13,Louisville,CUSA,0.523,1031,1679,61.4,12541,7.5,7.1,84,51,134.6,167,-412,-2.5,3,12,4,8,0,0.33,78.6,286,500,214,57.2,3179,21,14,5,2.8,6.37,6.4,5.94,5.19,11.1,106,41,2,2
2000,4,5,163,Tee Martin,74,227,Steelers,8,0.375,16,Tennessee,SEC,0.623,326,588,55.4,4592,7.8,7.7,32,16,133.6,204,614,3,16,0,0,0,0,0,25.3,6,16,10,37.5,69,0,1,0,6.3,5.88,4.3,1.5,1.12,11.5,23,29.4,0,0
2000,5,6,168,Marc Bulger,74,208,Saints,0,0.188,26,West Virginia,Big East,0.537,571,933,61.2,7371,7.9,7.5,53,31,139.7,100,-293,-2.9,2,95,41,54,0,0.43,84.4,1969,3171,1202,62.1,22814,122,93,10,2.9,7.42,7.2,6.64,5.61,11.6,237.6,45.3,12,16
2000,6,6,183,Spergon Wynn,75,229,Browns,1,0.125,28,Southwest Texas State,Sun Belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,39.5,70,152,82,46.1,585,1,7,1,4.6,13.14,3.8,1.91,0.78,8.4,58.5,25.1,0,0
2000,7,6,199,Tom Brady,76,211,Patriots,0,0.5,19,Michigan,Big Ten,0.645,395,638,61.9,4773,7.5,7.2,30,17,134.9,90,-150,-1.7,3,333,251,82,0,0.75,97.2,7753,12050,4297,64.3,89214,649,212,18,1.8,4.48,7.4,7.69,7.06,11.5,266.3,49.6,46,58
2000,8,6,202,Todd Husak,75,216,Redskins,0,0.625,2,Stanford,Pac 10,0.56,465,872,53.3,6564,7.5,7.2,41,24,126.6,99,-136,-1.4,3,0,0,0,0,0,79.2,2,2,0,100,-2,0,0,0,0,0,-1,-1,-1,-1,-2,0,0,0
2000,9,6,205,JaJuan Seider,73,230,Chargers,1,0.5,25,Florida A&M,FCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,7,212,Tim Rattay,72,215,49ers,3,0.25,20,Louisiana Tech,Independent,0.424,1015,1552,65.4,12746,8.2,8.7,115,35,154.3,153,-103,-0.7,2,18,5,13,0,0.28,81.9,432,714,282,60.5,4853,31,23,2,3.2,8.11,6.8,6.22,5.23,11.2,121.3,43.8,1,1
2000,11,7,214,Jarious Jackson,72,226,Broncos,5,0.375,17,Notre Dame,Independent,0.424,306,536,57.1,4820,9,8.5,34,21,145.7,272,957,3.5,13,1,0,1,0,0,46.4,11,22,11,50,114,0,1,0,4.5,8.33,5.2,3.14,2.42,10.4,22.8,37.5,0,0
2000,12,7,234,Joe Hamilton,70,192,Buccaneers,4,0.688,24,Georgia Tech,ACC,0.6,629,1020,61.7,8882,8.7,8.3,65,39,148.2,501,1758,3.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-1,0,0,0,0,0
