draft_round, Tight end,Center,Cornerback,Defensive end,Defensive tackle,Free safety,Fullback,Guard,Inside linebacker,Linebacker,Middle linebacker,Offensive tackle,Outside linebacker,Quarterback,Running back,Safety,Strong safety,Tight end,Wide receiver
1,0.0,0.16666666666666666,0.5813953488372093,0.6666666666666666,0.75,0.2,0.0,0.4375,0.25,0.40476190476190477,0.0,0.68,0.5263157894736842,0.7611940298507462,0.30952380952380953,0.21739130434782608,0.6,0.05555555555555555,0.4605263157894737
2,0.0,0.16666666666666666,0.16279069767441862,0.022222222222222223,0.1388888888888889,0.2,0.0,0.4375,0.0,0.23809523809523808,0.6666666666666666,0.08,0.15789473684210525,0.07462686567164178,0.35714285714285715,0.391304347826087,0.0,0.16666666666666666,0.2236842105263158
3,0.0,0.0,0.09302325581395349,0.15555555555555556,0.027777777777777776,0.2,0.0,0.0,0.75,0.16666666666666666,0.3333333333333333,0.16,0.0,0.029850746268656716,0.09523809523809523,0.21739130434782608,0.0,0.3333333333333333,0.14473684210526316
4,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,1.0,0.0,0.0,0.023809523809523808,0.0,0.04,0.05263157894736842,0.08955223880597014,0.047619047619047616,0.043478260869565216,0.0,0.0,0.039473684210526314
5,0.0,0.16666666666666666,0.06976744186046512,0.022222222222222223,0.08333333333333333,0.1,0.0,0.125,0.0,0.11904761904761904,0.0,0.0,0.05263157894736842,0.0,0.11904761904761904,0.08695652173913043,0.0,0.2777777777777778,0.13157894736842105
6,1.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.16666666666666666,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.043478260869565216,0.4,0.0,0.0
Undrafted,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.04,0.21052631578947367,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
